Date,Open,High,Low,Close,Volume,Adj Close
2025-05-27,37.47,37.75,36.56,36.93,815756,36.93
2025-05-28,36.33,36.41,34.55,34.76,780548,34.76
2025-05-29,34.4,35.86,34.4,35.0,635025,35.0
2025-05-30,34.41,34.82,33.33,33.42,529658,33.42
2025-06-03,32.97,34.25,32.85,33.5,411546,33.5
2025-06-04,33.38,35.12,33.38,34.03,483166,34.03
2025-06-05,34.0,34.66,33.57,34.48,425584,34.48
2025-06-06,34.2,34.48,33.69,33.98,310511,33.98
2025-06-09,33.81,34.96,33.81,34.64,351412,34.64
2025-06-10,34.6,34.6,33.19,33.78,434231,33.78
2025-06-11,33.73,34.19,33.57,33.91,308833,33.91
2025-06-12,33.5,34.53,33.47,33.82,378244,33.82
2025-06-13,33.57,33.58,32.0,32.56,571669,32.56
2025-06-16,32.08,33.74,32.0,33.45,441708,33.45
2025-06-17,33.7,34.08,33.13,33.51,337671,33.51
2025-06-18,33.19,33.38,32.68,32.95,222743,32.95
2025-06-19,32.88,33.48,32.29,32.47,308555,32.47
2025-06-20,32.79,32.82,31.61,31.66,254502,31.66
2025-06-23,31.01,32.23,31.01,32.18,222089,32.18
2025-06-24,32.23,33.15,32.23,32.85,280961,32.85
2025-06-25,32.78,33.42,32.49,33.39,350587,33.39
2025-06-26,33.4,33.88,33.01,33.19,322921,33.19
2025-06-27,33.19,33.69,32.86,32.89,260458,32.89
2025-06-30,32.83,34.16,32.8,33.63,351437,33.63
2025-07-01,33.6,33.68,32.99,33.16,238738,33.16
2025-07-02,32.91,33.13,32.48,32.71,200782,32.71
2025-07-03,32.71,33.12,32.51,32.88,162456,32.88
2025-07-04,32.95,33.68,32.62,33.01,326818,33.01
2025-07-07,32.71,33.11,32.39,32.43,208618,32.43
2025-07-08,32.46,33.23,32.31,33.03,252643,33.03
2025-07-09,32.96,34.38,32.91,33.7,521958,33.7
2025-07-10,33.52,33.95,33.33,33.61,282113,33.61
2025-07-11,33.53,34.07,32.97,33.72,329727,33.72
2025-07-14,33.7,33.7,33.0,33.2,259523,33.2
2025-07-15,33.25,34.77,33.09,34.56,766087,34.56
2025-07-16,34.33,35.41,34.03,34.15,643122,34.15
2025-07-17,34.09,35.98,33.65,35.54,775219,35.54
2025-07-18,35.31,35.81,34.85,34.94,582357,34.94
2025-07-21,34.91,35.35,34.39,34.75,364088,34.75
2025-07-22,34.69,34.89,34.05,34.28,316665,34.28
2025-07-23,34.08,34.47,33.93,34.06,269552,34.06
2025-07-24,34.3,35.08,34.19,34.92,378616,34.92
2025-07-25,35.49,35.96,35.27,35.77,626481,35.77
2025-07-28,35.69,35.7,34.74,35.05,417260,35.05
2025-07-29,34.85,35.53,34.55,34.95,321871,34.95
2025-07-30,35.03,35.8,34.36,34.85,503205,34.85
2025-07-31,35.5,36.8,35.01,35.9,1027258,35.9
2025-08-01,36.19,36.59,34.63,36.08,867440,36.08
2025-08-04,35.53,35.86,34.84,35.74,548314,35.74
2025-08-05,35.7,35.91,34.91,35.19,468153,35.19
2025-08-06,35.38,35.76,35.05,35.37,361736,35.37
2025-08-07,35.45,35.6,34.65,34.91,386759,34.91
2025-08-08,34.66,34.66,33.43,33.44,559302,33.44
2025-08-11,33.5,35.48,33.46,34.99,564361,34.99
2025-08-12,34.89,36.84,34.79,36.3,1019209,36.3
2025-08-13,36.2,36.65,35.8,36.32,596107,36.32
2025-08-14,36.3,36.49,35.34,35.42,452491,35.42
2025-08-15,35.5,36.22,35.06,35.94,426919,35.94
2025-08-18,35.84,37.89,35.68,37.14,850782,37.14
2025-08-19,37.0,37.6,36.74,36.86,474056,36.86
2025-08-20,36.89,37.37,36.25,37.24,441384,37.24
2025-08-21,37.49,37.79,36.72,36.98,511837,36.98
2025-08-22,37.5,44.38,37.47,44.38,2168766,44.38
2025-08-25,44.41,45.19,42.8,43.6,1682985,43.6
2025-08-26,42.99,43.1,41.66,41.9,1001064,41.9
2025-08-27,43.12,43.57,40.28,40.3,1367601,40.3
2025-08-28,40.0,42.13,39.8,41.3,1055456,41.3
2025-08-29,41.11,43.3,40.79,42.0,1099343,42.0
2025-09-01,42.25,42.74,41.3,41.67,811242,41.67
2025-09-02,41.99,47.07,41.51,43.47,1837295,43.47
2025-09-03,42.47,45.82,42.21,42.27,1369812,42.27
2025-09-04,42.02,45.2,41.31,43.5,1504505,43.5
2025-09-05,42.65,42.8,38.58,41.05,1506696,41.05
2025-09-08,40.79,41.1,39.68,40.35,848530,40.35
2025-09-09,40.59,40.59,38.8,38.87,668201,38.87
2025-09-10,39.06,41.58,38.8,40.7,1013859,40.7
2025-09-11,40.65,42.75,39.5,42.04,1032838,42.04
2025-09-12,42.0,42.76,41.39,41.4,767717,41.4
2025-09-15,41.3,42.75,41.04,41.87,759289,41.87
2025-09-16,42.0,42.2,40.87,41.54,604666,41.54
2025-09-17,41.1,41.6,40.65,41.21,511026,41.21
2025-09-18,41.13,43.38,41.05,41.62,1087590,41.62
2025-09-19,41.5,45.5,41.32,43.45,1399280,43.45
2025-09-22,43.0,43.38,42.0,42.65,849467,42.65
2025-09-23,42.66,44.2,41.81,43.37,1072793,43.37
2025-09-24,42.85,46.37,42.3,45.41,1362482,45.41
2025-09-25,45.48,54.0,45.46,48.77,2057812,48.77
2025-09-26,48.01,48.49,45.05,45.12,1361320,45.12
2025-09-29,45.13,46.1,44.1,45.24,859167,45.24
2025-09-30,46.8,49.5,46.27,48.59,1296272,48.59
2025-10-09,49.0,51.0,48.27,49.98,1365648,49.98
2025-10-10,48.6,49.33,45.88,46.36,1066849,46.36
2025-10-13,43.88,45.96,43.87,44.75,774834,44.75
2025-10-14,45.19,46.41,42.03,42.31,808508,42.31
2025-10-15,42.83,43.3,41.71,42.97,483353,42.97
2025-10-16,42.7,43.6,41.71,42.2,544626,42.2
2025-10-17,42.2,42.44,40.45,40.57,495915,40.57
2025-10-20,41.44,41.78,40.5,40.92,372162,40.92
2025-10-21,41.1,41.82,40.8,41.6,364953,41.6
2025-10-22,41.14,42.64,41.07,41.72,451544,41.72
2025-10-23,41.24,41.49,39.9,41.09,431139,41.09
2025-10-24,41.39,41.83,40.9,41.27,397487,41.27
2025-10-27,42.0,43.16,41.78,42.87,615134,42.87
2025-10-28,43.2,44.65,42.89,43.36,653859,43.36
2025-10-29,42.93,44.91,42.7,44.47,608918,44.47
2025-10-30,44.7,46.64,43.7,44.31,999589,44.31
2025-10-31,45.71,47.22,44.81,46.07,1114072,46.07
2025-11-03,46.8,47.99,45.65,46.43,907278,46.43
2025-11-04,46.03,46.77,45.06,45.82,648292,45.82
2025-11-05,44.7,45.08,43.35,44.4,713031,44.4
2025-11-06,44.38,44.51,43.45,43.94,494548,43.94
2025-11-07,43.55,43.7,42.72,42.9,454175,42.9
2025-11-10,43.39,44.14,43.12,43.33,498156,43.33
2025-11-11,43.1,43.15,41.48,41.5,596567,41.5
2025-11-12,41.1,41.4,39.78,40.31,481214,40.31
2025-11-13,40.2,41.08,40.01,40.63,377981,40.63
2025-11-14,40.1,40.23,39.1,39.15,402648,39.15
2025-11-17,39.17,41.42,39.17,40.72,541691,40.72
2025-11-18,40.6,43.3,40.32,42.34,866103,42.34
2025-11-19,42.41,42.5,41.01,41.29,534975,41.29
2025-11-20,41.78,41.78,40.5,40.56,351094,40.56
2025-11-21,39.99,41.62,39.5,40.42,618413,40.42
2025-11-24,40.85,44.5,39.7,43.16,964430,43.16
2025-11-25,43.5,46.8,43.21,45.69,1433276,45.69
2025-11-26,45.52,46.06,44.8,45.16,893777,45.16
2025-11-27,44.6,45.58,43.8,43.85,633942,43.85
2025-11-28,43.63,44.5,43.14,43.5,485861,43.5
2025-12-01,43.27,43.76,42.69,43.52,440405,43.52
2025-12-02,43.31,43.5,41.68,41.89,508447,41.89
2025-12-03,41.77,41.89,40.21,40.3,444663,40.3
2025-12-04,40.4,40.72,39.8,39.89,345573,39.89
2025-12-05,40.1,41.22,39.32,41.1,464249,41.1
2025-12-08,41.0,41.41,40.84,41.1,414593,41.1
2025-12-09,40.87,41.49,40.65,40.98,367930,40.98
2025-12-10,40.6,41.19,40.08,40.98,323531,40.98
2025-12-11,40.9,40.99,39.8,39.82,351274,39.82
2025-12-12,39.86,40.98,39.51,40.66,391429,40.66
